14	-106.7221, 32.2464	-107.2594, 32.7801
12	-107.2589, 32.7801	-107.2205, 33.478
0r	-107.2208, 33.478	-106.7981, 34.5439
39	-106.7978, 34.5438	-106.7347, 34.87
37	-106.7352, 34.87	-106.574, 35.2179
35r	-106.574, 35.2179	-106.2487, 35.5025
32r	-106.2487, 35.5025	-105.718, 35.5533
22	-105.718, 35.5525	-104.9991, 35.7716
28	-104.9991, 35.7716	-104.6586, 36.2183
6	-104.6591, 36.2183	-104.4806, 36.9939
26	-104.4806, 36.9939	-104.6704, 37.495
34	-104.6704, 37.495	-104.8291, 37.8911
18r	-104.8291, 37.8911	-104.6314, 38.5199
20	-104.6311, 38.5199	-104.8637, 39.1298
30	-104.8639, 39.1298	-104.8724, 39.566
55r	-104.8724, 39.566	-104.9017, 39.6237
47	-104.9017, 39.6237	-104.9888, 39.7911
46r	-104.9884, 39.7911	-104.988, 39.9758
57	-104.9882, 39.9757	-104.9809, 40.0293
41r	-104.9804, 40.0293	-104.9809, 40.3492
24	-104.9813, 40.3492	-104.9431, 40.9039
53r	-104.9431, 40.9034	-104.9066, 40.9982
16r	-104.9066, 40.9982	-104.8433, 41.6535
2	-104.8439, 41.6535	-105.1181, 42.6081
8	-105.1172, 42.6081	-106.0728, 42.8398
10r	-106.0728, 42.8394	-106.4475, 43.4927
4	-106.4475, 43.4927	-106.6903, 44.3685
