153	-112.5989, 38.5798	-112.5031, 38.5935
0r	-112.5031, 38.5935	-111.2988, 38.7892
2	-111.2988, 38.7887	-110.1504, 38.9743
4	-110.1505, 38.9746	-109.0513, 39.1942
10	-109.0513, 39.1933	-108.1699, 39.3663
8r	-108.1702, 39.3663	-107.1139, 39.6251
12r	-107.1139, 39.6251	-106.2157, 39.5316
114	-106.216, 39.5317	-105.9252, 39.6793
42	-105.9252, 39.6793	-105.3983, 39.7168
110r	-105.3983, 39.7168	-105.0532, 39.7835
136	-105.0532, 39.7835	-104.8281, 39.7724
151	-104.8282, 39.7726	-104.7297, 39.7407
180r	-104.7331, 39.7407	-104.7106, 39.7401
168	-104.7107, 39.7403	-104.6783, 39.7402
163	-104.6783, 39.74	-104.6304, 39.7395
138	-104.6314, 39.7395	-104.4097, 39.7381
76r	-104.4118, 39.7381	-104.014, 39.566
65r	-104.014, 39.566	-103.7149, 39.2732
32	-103.7149, 39.2735	-103.1552, 39.287
6	-103.1552, 39.2866	-102.0487, 39.3296
16r	-102.0487, 39.3298	-101.391, 39.3312
24r	-101.391, 39.3312	-100.8204, 39.1334
14r	-100.812, 39.1236	-100.149, 39.0237
30r	-100.149, 39.024	-99.5947, 38.9504
28r	-99.5947, 38.9502	-99.0393, 38.8636
34r	-99.0393, 38.8638	-98.485, 38.8488
89r	-98.485, 38.8486	-98.0613, 38.871
146	-98.0623, 38.8709	-97.9288, 38.8787
36r	-97.9288, 38.8787	-97.3812, 38.9289
88	-97.3812, 38.9287	-96.9635, 38.9942
74r	-96.9635, 38.9944	-96.501, 39.0668
149r	-96.501, 39.0665	-96.3911, 39.0653
82r	-96.3911, 39.0655	-95.9467, 39.0585
78r	-95.9467, 39.0583	-95.5011, 39.018
118r	-95.5011, 39.0182	-95.1866, 38.9968
122	-95.1866, 38.9968	-94.9087, 39.0904
124r	-94.9087, 39.0902	-94.6073, 39.1087
48	-94.6073, 39.1087	-94.11, 39.0148
26	-94.11, 39.015	-93.4942, 38.9848
80r	-93.4942, 38.9848	-93.0495, 38.9505
51	-93.0495, 38.9504	-92.5449, 38.9597
98r	-92.545, 38.9598	-92.1498, 38.9543
46r	-92.1501, 38.9541	-91.6401, 38.9015
100	-91.6401, 38.9015	-91.2649, 38.846
120	-91.2649, 38.8462	-90.961, 38.8176
62r	-90.961, 38.8176	-90.4823, 38.7643
132r	-90.4823, 38.7643	-90.2657, 38.7013
148r	-90.2657, 38.7013	-90.1785, 38.6459
155r	-90.1889, 38.6431	-90.2544, 38.6898
133r	-90.2658, 38.7012	-90.4825, 38.764
63	-90.4825, 38.764	-90.961, 38.8175
121r	-90.961, 38.8174	-91.2649, 38.846
101r	-91.2649, 38.8462	-91.6401, 38.9017
47	-91.6401, 38.9017	-92.1498, 38.9543
99r	-92.1501, 38.9541	-92.5449, 38.9597
52	-92.545, 38.9598	-93.0495, 38.9505
81	-93.0495, 38.9504	-93.4942, 38.9846
27r	-93.4942, 38.9846	-94.11, 39.0148
64r	-94.11, 39.015	-94.5755, 39.1066
170	-94.5755, 39.1066	-94.6073, 39.1089
125	-94.6073, 39.1089	-94.9087, 39.0904
123	-94.9087, 39.0902	-95.1866, 38.9967
119r	-95.1866, 38.9967	-95.5011, 39.018
79r	-95.5011, 39.0182	-95.9467, 39.0585
83	-95.9467, 39.0583	-96.3911, 39.0653
150	-96.3911, 39.0655	-96.501, 39.0668
75r	-96.501, 39.0665	-96.9635, 38.9942
91r	-96.9635, 38.9944	-97.3717, 38.9289
37r	-97.3812, 38.9287	-97.9288, 38.8785
147r	-97.9288, 38.8785	-98.0613, 38.871
90r	-98.0623, 38.8709	-98.485, 38.8488
35	-98.485, 38.8486	-99.0393, 38.8636
29	-99.0393, 38.8638	-99.5947, 38.9504
31r	-99.5947, 38.9502	-100.149, 39.0237
15r	-100.149, 39.024	-100.812, 39.124
25	-100.8208, 39.1334	-101.391, 39.331
17r	-101.391, 39.331	-102.0487, 39.3296
7r	-102.0487, 39.3298	-103.1552, 39.287
33r	-103.1552, 39.2866	-103.7149, 39.2732
66r	-103.7149, 39.2735	-104.0135, 39.566
77	-104.0135, 39.566	-104.4097, 39.7381
141	-104.4118, 39.7381	-104.6304, 39.7395
181r	-104.6314, 39.7395	-104.6528, 39.7398
178r	-104.6528, 39.7398	-104.6783, 39.7402
169r	-104.6783, 39.74	-104.7106, 39.7401
183r	-104.7107, 39.7403	-104.7297, 39.7407
152r	-104.7331, 39.7407	-104.8281, 39.7724
137r	-104.8282, 39.7726	-105.0532, 39.7837
111r	-105.0532, 39.7837	-105.3983, 39.7171
43	-105.3983, 39.7171	-105.9251, 39.6794
115r	-105.9251, 39.6794	-106.2157, 39.5316
13	-106.216, 39.5317	-107.1139, 39.6249
9	-107.1139, 39.6249	-108.1699, 39.3663
11r	-108.1702, 39.3663	-109.0513, 39.1942
5	-109.0513, 39.1933	-110.1504, 38.9743
3r	-110.1505, 38.9746	-111.2988, 38.7892
1	-111.2988, 38.7887	-112.5031, 38.5934
154r	-112.5031, 38.5934	-112.5982, 38.5799
