1	-117.0138, 34.8861	-114.4878, 34.7172
4	-114.4878, 34.7172	-113.3329, 35.1912
18	-113.3329, 35.1912	-112.4427, 35.2184
2r	-112.4427, 35.2181	-110.7507, 35.0424
16r	-110.7507, 35.0424	-109.8447, 35.0239
14	-109.8447, 35.0243	-109.0468, 35.363
10r	-109.0468, 35.363	-107.9903, 35.3053
12r	-107.9906, 35.3053	-107.0841, 34.9927
20	-107.0842, 34.9929	-106.2439, 35.0843
164r	-106.2439, 35.0843	-106.1316, 35.0405
22r	-106.1325, 35.0405	-105.2909, 34.9912
6	-105.2909, 34.9914	-104.1251, 35.08
8r	-104.1251, 35.08	-103.0425, 35.1828
189	-103.0425, 35.1824	-103.0049, 35.1831
24	-103.0068, 35.1831	-102.1671, 35.2086
42	-102.1671, 35.2085	-101.623, 35.2068
48	-101.623, 35.2068	-101.0862, 35.1994
176	-101.0862, 35.1998	-101.0047, 35.1828
163	-101.0071, 35.1828	-100.8692, 35.1832
188	-100.8605, 35.1832	-100.8204, 35.1832
135	-100.8213, 35.1832	-100.5386, 35.2268
45	-100.5386, 35.2268	-100.0002, 35.2271
30	-100.0002, 35.2271	-99.3643, 35.4212
148	-99.3643, 35.4203	-99.1429, 35.4652
52r	-99.1432, 35.4652	-98.6233, 35.5365
125r	-98.6233, 35.5363	-98.3065, 35.5229
34	-98.3065, 35.5229	-97.6715, 35.4602
44	-97.6715, 35.4604	-97.1419, 35.3843
104r	-97.1421, 35.3841	-96.7767, 35.384
119	-96.7767, 35.384	-96.4412, 35.3869
107r	-96.4412, 35.3872	-96.0876, 35.4278
154r	-96.0876, 35.4278	-95.8754, 35.4326
50	-95.8754, 35.4319	-95.3448, 35.4679
146	-95.3448, 35.4679	-95.1033, 35.4846
32	-95.0925, 35.4885	-94.4414, 35.4513
83	-94.4414, 35.4513	-94.0368, 35.5278
121r	-94.0369, 35.5281	-93.7055, 35.5003
74	-93.7055, 35.5001	-93.2988, 35.3369
68r	-93.2988, 35.3374	-92.8542, 35.2375
100r	-92.8542, 35.2375	-92.5148, 35.1307
143r	-92.5148, 35.1307	-92.4139, 34.9316
96	-92.4145, 34.9316	-92.0767, 34.7904
98	-92.0767, 34.7906	-91.6972, 34.8023
113	-91.6972, 34.802	-91.3601, 34.8488
152	-91.3601, 34.8489	-91.1523, 34.9181
26	-91.1522, 34.9178	-90.4086, 35.148
115	-90.4093, 35.1479	-90.0686, 35.1531
70	-90.0686, 35.1531	-89.6377, 35.2766
138r	-89.6377, 35.2764	-89.3986, 35.4004
87	-89.399, 35.4004	-89.0728, 35.5913
60	-89.0728, 35.5913	-88.6085, 35.7262
80	-88.6085, 35.7259	-88.1901, 35.817
172	-88.179, 35.8187	-88.0843, 35.8413
161r	-88.0843, 35.8413	-87.9399, 35.8671
149r	-87.9399, 35.8671	-87.7117, 35.8738
158r	-87.7117, 35.8738	-87.5478, 35.9619
200	-87.5401, 35.9662	-87.5315, 35.9716
184	-87.5319, 35.9708	-87.4901, 35.9884
127	-87.4906, 35.9884	-87.1882, 36.0237
181	-87.1883, 36.0234	-87.1433, 36.0481
168	-87.144, 36.0481	-87.0387, 36.0802
62	-87.0388, 36.0789	-86.5679, 36.1687
66	-86.568, 36.1689	-86.0901, 36.1706
131r	-86.0901, 36.1706	-85.802, 36.1402
40	-85.802, 36.1402	-85.2382, 36.1033
38	-85.2385, 36.1033	-84.702, 35.8958
101r	-84.702, 35.8958	-84.3369, 35.8798
174	-84.3369, 35.8798	-84.2406, 35.8765
36	-84.2408, 35.8767	-83.6509, 35.9871
177	-83.6509, 35.9865	-83.5693, 35.9921
133r	-83.5699, 35.9925	-83.2806, 35.9854
123r	-83.2806, 35.9854	-83.0979, 35.7758
78r	-83.0981, 35.7757	-82.7659, 35.5406
54	-82.7659, 35.5406	-82.2694, 35.6211
81	-82.2696, 35.6213	-81.8614, 35.694
76	-81.8614, 35.694	-81.4115, 35.7057
116	-81.4117, 35.7054	-81.0747, 35.7431
92	-81.0749, 35.7432	-80.7066, 35.8702
111	-80.7066, 35.8699	-80.4184, 36.0163
94r	-80.4185, 36.0164	-80.0407, 36.0899
56	-80.0407, 36.0897	-79.5393, 36.0628
141	-79.5393, 36.063	-79.2609, 36.0751
129	-79.2609, 36.0749	-79.0008, 35.9524
156r	-79.0007, 35.9527	-78.8284, 35.8709
89r	-78.8284, 35.8709	-78.5664, 35.6292
58	-78.5664, 35.6292	-78.388, 35.2656
109	-78.3883, 35.2655	-78.1582, 35.056
64r	-78.1582, 35.0564	-77.9452, 34.719
72r	-77.9454, 34.719	-77.8884, 34.3641
166	-77.8882, 34.3641	-77.8683, 34.2717
