13	-122.6607, 45.5255	-121.9221, 45.6451
32	-121.9221, 45.6451	-121.4412, 45.692
28r	-121.4412, 45.692	-120.9145, 45.6352
54	-120.9145, 45.6352	-120.6492, 45.7311
20	-120.6493, 45.7313	-119.9995, 45.8015
26	-119.9995, 45.8006	-119.4348, 45.8022
4r	-119.4348, 45.8025	-118.358, 45.429
16r	-118.3582, 45.429	-117.9224, 45.0187
2r	-117.9224, 45.0187	-117.2379, 44.3015
30	-117.2379, 44.3015	-116.9414, 44.0067
44r	-116.9411, 44.0069	-116.7522, 43.8072
34r	-116.7526, 43.8072	-116.4735, 43.5969
22r	-116.4735, 43.5972	-115.9749, 43.365
6	-115.9749, 43.365	-115.0867, 42.9427
24r	-115.0867, 42.9424	-114.6169, 42.7419
14r	-114.6169, 42.7422	-113.932, 42.5767
50r	-113.932, 42.5767	-113.6306, 42.569
8r	-113.6306, 42.569	-113.0, 42.1689
52r	-113.0, 42.1689	-112.8325, 41.9994
0r	-112.8325, 41.9994	-112.0341, 41.3365
56	-112.0341, 41.3365	-111.9751, 41.1527
81	-111.9784, 41.1527	-111.9559, 41.1411
77	-111.9551, 41.1403	-111.915, 41.1372
74	-111.9151, 41.1374	-111.8613, 41.1379
40r	-111.8561, 41.1387	-111.5298, 41.0528
64r	-111.5299, 41.0528	-111.435, 40.973
