227	-122.4058, 37.7703	-122.3902, 37.7867
217r	-122.3902, 37.7867	-122.3645, 37.8106
187	-122.3496, 37.8188	-122.3091, 37.8979
158r	-122.3091, 37.8979	-122.2252, 38.061
183r	-122.2252, 38.061	-122.2146, 38.155
231	-122.2149, 38.155	-122.2019, 38.1683
39r	-122.2015, 38.1682	-121.7384, 38.5376
166r	-121.7384, 38.5376	-121.5476, 38.5987
140	-121.5476, 38.5987	-121.2934, 38.7218
14	-121.2934, 38.7218	-120.6173, 39.3154
202	-120.6249, 39.3154	-120.5553, 39.3156
185	-120.5567, 39.3156	-120.4354, 39.3162
67	-120.4371, 39.3162	-120.0105, 39.4451
222	-120.0105, 39.4451	-120.0029, 39.4682
32r	-120.0029, 39.4682	-119.2935, 39.618
148r	-119.286, 39.6182	-119.06, 39.74
58	-119.06, 39.74	-118.6803, 39.9985
8r	-118.6803, 39.9985	-117.9522, 40.8578
20r	-117.9522, 40.8578	-117.0186, 40.7055
113r	-117.0186, 40.7055	-116.5958, 40.6853
107r	-116.5958, 40.6853	-116.1577, 40.7091
2	-116.1577, 40.7094	-114.0437, 40.7381
4r	-114.0437, 40.738	-112.2248, 40.7234
43	-112.2248, 40.7234	-111.6235, 40.7535
23	-111.6235, 40.7535	-111.0468, 41.2477
16	-111.0468, 41.2477	-110.0489, 41.4644
0	-110.0489, 41.4649	-107.5054, 41.7645
6	-107.5054, 41.764	-106.0714, 41.5307
18r	-106.0714, 41.5317	-105.2789, 41.1169
10	-105.2789, 41.1169	-104.0534, 41.1809
40	-104.0534, 41.1809	-103.3761, 41.2204
30r	-103.3761, 41.2202	-102.6106, 41.1137
50r	-102.6106, 41.1137	-102.0556, 41.0533
28	-102.0556, 41.0533	-101.2703, 41.1169
12	-101.2703, 41.1171	-100.2244, 40.9423
22r	-100.2244, 40.9423	-99.4166, 40.693
35	-99.4166, 40.693	-98.7215, 40.7224
81	-98.7215, 40.7221	-98.2826, 40.821
89	-98.2826, 40.8212	-97.8258, 40.8213
87	-97.8258, 40.821	-97.3684, 40.8214
85r	-97.3684, 40.8216	-96.9107, 40.8206
69	-96.9107, 40.8206	-96.4637, 40.9217
163	-96.4637, 40.9213	-96.2969, 41.0266
142	-96.2969, 41.0266	-96.1009, 41.1906
172	-96.1013, 41.1906	-95.9108, 41.2319
26	-95.9108, 41.2319	-95.1553, 41.4984
105r	-95.1553, 41.4982	-94.7005, 41.4968
99r	-94.7005, 41.4971	-94.2416, 41.4935
219r	-94.2416, 41.4933	-94.2088, 41.5035
111	-94.2088, 41.5035	-93.7906, 41.5921
101	-93.7906, 41.5923	-93.3485, 41.681
46	-93.3485, 41.6807	-92.7664, 41.6953
77	-92.7664, 41.6955	-92.2998, 41.6959
79r	-92.2998, 41.6959	-91.8341, 41.6874
74	-91.8342, 41.6872	-91.3663, 41.666
72r	-91.3663, 41.6662	-90.8995, 41.6331
51r	-90.8995, 41.6331	-90.3646, 41.5796
197r	-90.3646, 41.5796	-90.3409, 41.5115
195r	-90.3409, 41.5115	-90.3297, 41.4405
63r	-90.3301, 41.4405	-89.8569, 41.3937
37r	-89.8569, 41.3935	-89.1646, 41.3646
48	-89.1646, 41.3648	-88.5938, 41.3766
132r	-88.5938, 41.3764	-88.2522, 41.4629
65	-88.2522, 41.4629	-87.7926, 41.5509
153	-87.7926, 41.5511	-87.5253, 41.5771
262r	-87.5253, 41.5771	-87.5253, 41.577
