153	-112.5989, 38.5798	-112.5031, 38.5935
0r	-112.5031, 38.5935	-111.2988, 38.7892
2	-111.2988, 38.7887	-110.1504, 38.9743
4	-110.1505, 38.9746	-109.0513, 39.1942
10	-109.0513, 39.1933	-108.1699, 39.3663
8r	-108.1702, 39.3663	-107.1139, 39.6251
12r	-107.1139, 39.6251	-106.2157, 39.5316
114	-106.216, 39.5317	-105.9252, 39.6793
42	-105.9252, 39.6793	-105.3983, 39.7168
110	-105.3983, 39.7171	-105.0532, 39.7837
136	-105.0532, 39.7835	-104.8281, 39.7724
151	-104.8282, 39.7726	-104.7297, 39.7407
180r	-104.7331, 39.7407	-104.7106, 39.7401
168	-104.7107, 39.7403	-104.6783, 39.7402
163	-104.6783, 39.74	-104.6304, 39.7395
138	-104.6314, 39.7395	-104.4097, 39.7381
76r	-104.4118, 39.7381	-104.014, 39.566
64r	-104.014, 39.566	-103.7149, 39.2732
32	-103.7149, 39.2732	-103.1552, 39.2866
6	-103.1552, 39.2866	-102.0487, 39.3296
16	-102.0487, 39.3296	-101.391, 39.331
22r	-101.391, 39.3312	-100.8204, 39.1334
14r	-100.812, 39.1236	-100.149, 39.0237
30r	-100.149, 39.024	-99.5947, 38.9504
28r	-99.5947, 38.9504	-99.0393, 38.8638
34r	-99.0393, 38.8636	-98.485, 38.8486
89r	-98.485, 38.8486	-98.0613, 38.871
146	-98.0623, 38.8709	-97.9288, 38.8787
36	-97.9288, 38.8785	-97.3812, 38.9287
88	-97.3812, 38.9287	-96.9635, 38.9942
71	-96.9635, 38.9942	-96.501, 39.0665
149r	-96.501, 39.0668	-96.3911, 39.0655
82r	-96.3911, 39.0655	-95.9467, 39.0585
78r	-95.9467, 39.0583	-95.5011, 39.018
118r	-95.5011, 39.0182	-95.1866, 38.9968
122	-95.1866, 38.9968	-94.9087, 39.0904
124r	-94.9087, 39.0902	-94.6073, 39.1087
48	-94.6073, 39.1087	-94.11, 39.0148
26	-94.11, 39.0148	-93.4942, 38.9846
80r	-93.4942, 38.9848	-93.0495, 38.9505
49	-93.0495, 38.9504	-92.5449, 38.9597
98r	-92.545, 38.9598	-92.1498, 38.9543
46r	-92.1501, 38.9541	-91.6401, 38.9015
100	-91.6401, 38.9015	-91.2649, 38.846
120	-91.2649, 38.8462	-90.961, 38.8176
59r	-90.961, 38.8176	-90.4823, 38.7643
132r	-90.4823, 38.7643	-90.2657, 38.7013
148r	-90.2657, 38.7013	-90.1785, 38.6459
